place,movie_title,rating,year,star_cast
83,Deszczowa piosenka,8.275476823492754,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
84,Trzej idioci,8.275270472919164,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Requiem dla snu,8.27256331946211,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
86,Niebo i piekło,8.272213231156632,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Toy Story 3,8.2694088165541,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
88,Kafarnaum,8.26828933155071,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Gwiezdne wojny: Część VI - Powrót Jedi,8.263946884094413,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,2001: Odyseja kosmiczna,8.260783874905469,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Zakochany bez pamięci,8.26071857244904,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Idź i patrz,8.259796950014085,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
93,Wściekłe psy,8.257264864936772,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
94,Polowanie,8.257186775958955,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Lawrence z Arabii,8.248076729196905,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Obywatel Kane,8.247442144073153,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
97,M - morderca,8.247142596075882,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,Piętno śmierci,8.245693803212754,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
99,Północ - północny zachód,8.24431916267656,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
10, Garsoniera,8.241813938228704,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
101,Zawrót głowy,8.241705650031653,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
102,Amelia,8.239466154752018,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
103,Podwójne ubezpieczenie,8.238296223449222,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,Mechaniczna pomarańcza,8.236214813930852,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
105,Full Metal Jacket,8.236053030375972,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Człowiek z blizną,8.23506701553642,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
107,Pogorzelisko,8.227238255359117,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
108,Gorączka,8.22648031717392,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
109,Hamilton,8.225501160174076,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
110,Odlot,8.224954156750107,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
111,Zabić drozda,8.224723028875243,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
112,Żądło,8.224470073274063,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
113,Rozstanie,8.220933059922954,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
114,Metropolis,8.220545885261378,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
115,Szklana pułapka,8.21733912011852,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
116,Tajemnice Los Angeles,8.21707287270136,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
117,Indiana Jones i ostatnia krucjata,8.216505022024608,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
118,Taksówkarz,8.216339470629055,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
119,Przekręt,8.215964688117388,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
120,Złodzieje rowerów,8.214833735984984,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Gwiazdy na ziemi,8.21151655827444,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
122,1917,8.210654404540895,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
